Nama,cluster_ind_fastrp_256
A WINOTO DOERIAT,1
AAN ANDRIANI SUTRISNO,3
AAN SINANTA,0
AANG HANDIMULYA SETIAMIHARDJA,1
ABDI ANDRE,1
ABDI NEGARA NURDIN,3
ABDI NUSAJAYA,1
ABDILLAH NATSIR,0
ABDUH SAKUR,0
ABDUL HAFIT,3
ABDUL HARIS,3
ABDUL KARIM DG TOMPO,1
ABDUL ROHIM,1
ABDULLAH AUFA FUAD,3
ABDULLAH MAKHMUD HENDROPRIYONO,1
ABDULLAH SABANA PRAWIRAWIDJAJA,1
ABDUR RAHIM HASAN,3
ABDURACHMAN HADI,3
ABERLY RADON,0
ABIDIN FAN,1
ABM INVESTAMA TBK,1
ABRAHAM SINATRAWAN,1
ABRAHAM THEOFILUS,0
ABU ASHAR,1
ABU SANTOSA,3
ABUN GUNAWAN,0
ABY ABDULLAH GANIS,3
ABYASA KAMDANI,3
ACHMAD ANANDA DJAJANEGARA,1
ACHMAD ARDIANTO,2
ACHMAD BAIQUNI,3
ACHMAD FACHMI,1
ACHMAD FADHIEL,0
ACHMAD FRISCANTONO,1
ACHMAD HIDAYAT,3
ACHMAD KALLA,0
ACHMAD MACHLUS SADAT,3
ACHMAD SUMANTONO,1
ACHMAD WACHID ABDULLAH,1
ACHMAD WIDJAJA,1
ACHMAD ZAINI,0
ADAM MULIA,1
ADANG SUPRIANTO,0
ADDI PRABOWO CUNDOMANIK,1
ADDIN JAUHARUDIN,1
ADE ARIFIN,3
ADE CAHYO NUGROHO,1
ADE HARRIS CHRISTIAN ADE HARRIS,0
ADE NURKHOLIS,3
ADE RAHARDJA,1
ADE SUHERMAN,0
ADE TJENDRA,3
ADE WAHYU,3
ADELINE,1
ADELINE SETIONO,0
ADEN,3
ADHI INDRAWAN,3
ADHI SUDARGO TASMIN,3
ADHIE NUGROHO GAUTAMA,1
ADHIGUNA PRAKASA,3
ADHIKA ANDRAYUDHA BAKRIE,0
ADHIPUTRA TANOYO,3
ADHY KARYONO,3
ADI GUNAWAN,3
ADI HARSONO,2
ADI MUNANDIR,3
ADI PRANOTO LEMAN,2
ADI PUTERA WIDJAJA,2
ADI SAPUTRA KUSMA,3
ADI SAPUTRA TEDJA SURYA,0
ADI SARANA ARMADA TBK,0
ADI SULISTYOWATI,3
ADI SUTONO,0
ADI W SARIAATMADJA,3
ADIE POERNOMO WIDJAYA,2
ADIKA ARYASTHANA BAKRIE,2
ADIKA NURAGA BAKRIE,2
ADINATA TUPEL,0
ADINDA A BAKRIE,0
ADING SUHENDI PERMANA,1
ADIRA DINAMIKA MULTI FINANCE TBK,3
ADITYA,3
ADITYA PRATOMO,3
ADITYA PUTRA UTAMA,3
ADITYA WISNU WARDHANA,0
ADITYA YESSIKA CAHYONO,3
ADITYO HARYO BIMO,3
ADJI ANDJONO PURWO,3
ADLEY ENDERSON WAHYADIYATMIKA,3
ADRIAN KALAIJ,2
ADRIAN KOESNENDAR,1
ADRIAN PRIOHUTOMO,0
ADRIAN PUTRA BRASALI,0
ADRIAN SUHERMAN,0
ADRIAN SYARKAWI,3
ADRIAN T KELLER,3
ADRIAN WAHYU KALAIJ,1
ADRIAN WICAKSONO,2
ADRIANA,1
ADRIANA PIO,2
ADRIANSYAH ADNAN,3
ADRIANSYAH AKBAR,2
ADRIANTO DJOKOSOETONO,2
ADRIANUS DARYANTO,3
ADRIANUS EKA PUTRA,0
ADRIANUS NOE,2
ADRIANUS PIO,2
ADYAN HADIKUSUMAH,3
AFFANDI,3
AFFANDI HERMAWAN,3
AFIFUDDIN SUHAELI,1
AFIFY JAUHARI,3
AFUZA AGHNAT SAMSUL,3
AGENG GIRIYONO,3
AGNES GORETTI,1
AGNES KRISTINA,0
AGNES MARCELLINA TJHIN,1
AGNES MARTAULINA DWI SARASWANTI HALOHO,0
AGOES PROJOSASMITO,3
AGOES SOEGIARTO SOEPARMAN,3
AGUNG BUDI MULYANTO,1
AGUNG BUDI WASKITO,3
AGUNG DAMIAR,3
